serialize: 894.763ms
start: 1445.033ms
builtin://global: 0.498ms
builtin://either: 2.339ms
builtin://error-display: 18.380ms
builtin://option: 2.275ms
builtin://valueskeleton: 1.519ms
builtin://srcloc: 8.300ms
builtin://error: 188.979ms
builtin://equality: 2.477ms
builtin://lists: 66.723ms
builtin://arrays: 7.253ms
builtin://pick: 1.010ms
builtin://sets: 55.991ms
builtin://contracts: 33.953ms
builtin://render-error-display: 4.735ms
builtin://ffi: 1.707ms
builtin://checker: 52.865ms
builtin://table: 2.154ms
builtin://tables: 5.022ms
builtin://reactor-events: 1.086ms
builtin://reactors: 1.051ms
builtin://data-source: 11.587ms
builtin://s-exp-structs: 1.571ms
builtin://s-exp: 0.863ms
builtin://base: 0.180ms
builtin://cmdline-lib: 0.130ms
builtin://format: 0.245ms
builtin://string-dict: 4.821ms
builtin://cmdline: 25.927ms
builtin://filelib: 1.043ms
builtin://file: 3.871ms
builtin://pathlib: 0.475ms
builtin://system: 1.268ms
builtin://pprint: 22.403ms
builtin://ast: 204.101ms
builtin://builtin-modules: 0.709ms
builtin://json-structs: 7.970ms
builtin://json: 0.401ms
builtin://runtime-lib: 0.312ms
builtin://load-lib: 1.378ms
builtin://make-standalone: 0.628ms
builtin://sha: 0.197ms
builtin://parse-pyret: 2.485ms
builtin://ast-visitors: 194.612ms
file:///Users/joe/src/pyret-lang/src/arr/compiler/ast-anf.arr: 128.032ms
file:///Users/joe/src/pyret-lang/src/arr/compiler/concat-lists.arr: 26.816ms
builtin://source-map-lib: 0.585ms
file:///Users/joe/src/pyret-lang/src/arr/compiler/js-ast.arr: 85.931ms
file:///Users/joe/src/pyret-lang/src/arr/compiler/type-structs.arr: 48.062ms
file:///Users/joe/src/pyret-lang/src/arr/compiler/compile-structs.arr: 218.464ms
file:///Users/joe/src/pyret-lang/src/arr/compiler/type-defaults.arr: 96.278ms
file:///Users/joe/src/pyret-lang/src/arr/compiler/type-check-structs.arr: 108.860ms
file:///Users/joe/src/pyret-lang/src/arr/compiler/ast-util.arr: 95.717ms
file:///Users/joe/src/pyret-lang/src/arr/compiler/gensym.arr: 1.835ms
file:///Users/joe/src/pyret-lang/src/arr/compiler/desugar-check.arr: 15.972ms
file:///Users/joe/src/pyret-lang/src/arr/compiler/resolve-scope.arr: 86.799ms
file:///Users/joe/src/pyret-lang/src/arr/compiler/desugar.arr: 70.772ms
file:///Users/joe/src/pyret-lang/src/arr/compiler/desugar-post-tc.arr: 4.796ms
builtin://stopify: 0.167ms
file:///Users/joe/src/pyret-lang/src/arr/compiler/js-dag-utils.arr: 33.177ms
file:///Users/joe/src/pyret-lang/src/arr/compiler/anf-loop-compiler.arr: 139.145ms
file:///Users/joe/src/pyret-lang/src/arr/compiler/anf.arr: 34.454ms
file:///Users/joe/src/pyret-lang/src/arr/compiler/compiler-utils.arr: 15.030ms
file:///Users/joe/src/pyret-lang/src/arr/compiler/vhull-compiler.arr: 93.648ms
file:///Users/joe/src/pyret-lang/src/arr/compiler/js-of-pyret.arr: 26.772ms
file:///Users/joe/src/pyret-lang/src/arr/compiler/type-check.arr: 180.338ms
file:///Users/joe/src/pyret-lang/src/arr/compiler/well-formed.arr: 109.402ms
file:///Users/joe/src/pyret-lang/src/arr/compiler/compile-lib.arr: 32.177ms
file:///Users/joe/src/pyret-lang/src/arr/compiler/locators/builtin.arr: 13.685ms
file:///Users/joe/src/pyret-lang/src/arr/compiler/locators/file.arr: 7.093ms
file:///Users/joe/src/pyret-lang/src/arr/compiler/locators/jsfile.arr: 4.741ms
file:///Users/joe/src/pyret-lang/src/arr/compiler/cli-module-loader.arr: 23.268ms
jsfile:///Users/joe/src/pyret-lang/src/arr/compiler/server.js: 0.538ms
file:///Users/joe/src/pyret-lang/src/arr/compiler/server.arr: 4.343ms
modules: 2687.311ms
